learning_rate,n_estimators,max_depth,min_child_weight,subsample,gamma,alpha,lambda,colsample_bytree,scale_pos_weight,F1
0.11861663446573512,915,9,5,0.9216662259935536,0.30814537417707233,0.6040049977395001,0.5648191628863961,0.9611604044653485,3,0.808099924299773
0.28570714885887566,549,4,1,0.94656927341588,0.022430278813858506,0.8713335923402825,0.339203431271918,0.92576767888587,1,0.8185858585858586
0.22227824312530747,553,7,5,0.6238469301378636,0.31127349523114084,0.9989046997630767,0.32268370707782024,0.7836636521503646,2,0.8047892720306513
0.18361096041714062,728,7,2,0.876820221215898,0.15445886142188303,0.6077627687434245,0.644906323864917,0.7007153813387538,3,0.8044808434528853
0.055245405728306586,320,8,5,0.6559949506887052,0.18436257773542297,0.40470587432917016,0.8514844493139939,0.7481280701802089,4,0.8071020699500356
0.055238410897498764,253,3,4,0.7663274272073644,0.3848657091484401,0.2252071002162016,0.6091953913933262,0.6080944930559802,2,0.8316738681194815
0.026844247528777843,764,9,2,0.8194353660218754,0.4054675963363053,0.25709608939511175,0.8531729786467225,0.8095972669858669,1,0.8192307692307692
0.2611910822747312,111,9,1,0.7610957938987323,0.20017831341991532,0.4794549781497657,0.26459711188102997,0.8020231201081635,2,0.8067875048206711
0.18432335340553055,232,3,1,0.807844670321203,0.4735764680031774,0.36727770128070925,0.5195018547649811,0.8101001859321952,4,0.8074675041437669
0.21534104756085318,403,9,3,0.9986105235194477,0.20323135897603611,0.9138145226249442,0.450536539067076,0.9896124899888256,1,0.8186403066370789
0.01596950334578271,392,3,2,0.6540869254851419,0.38591801761505495,0.36829546765570953,0.011644899503096218,0.9645816013819357,4,0.7981123981123981
0.29127385712697834,399,8,3,0.8701824181345702,0.24193863228212953,0.3734445911454355,0.5568121431407401,0.6646851113320432,3,0.7995448511283899
0.2514083658321223,839,6,2,0.7584003865542461,0.448766163261042,0.38353451243397696,0.6615243241461749,0.7475530086223556,2,0.8071319018404908
0.07157834209670008,882,7,2,0.6532039195629314,0.4538806218250893,0.8366202103676581,0.5919144044190701,0.7695824717853048,4,0.806314070579697
0.06272924049005918,142,8,4,0.6634947053497238,0.04370840393554193,0.6507883208469019,0.7362798987834215,0.7442131671406591,3,0.8174877295037266
